generation,N_shifts,logPrior,logLik,eventRate,acceptRate
11800000,7,23.3492,-56.0312,5.47982,0.30716
11900000,3,14.7221,-47.1306,1.64299,0.295431
12000000,6,19.9924,-38.5113,3.72794,0.297472
12100000,1,6.98777,-62.941,0.744411,0.295428
12200000,2,10.1643,-61.1528,0.786831,0.295233
12300000,3,13.7544,-54.8471,0.382181,0.29805
12400000,4,15.9305,-37.0707,1.14447,0.295221
12500000,2,8.47648,-60.0907,1.42676,0.295106
12600000,3,12.4883,-36.7982,3.22964,0.301333
12700000,6,19.3002,-35.0368,2.3059,0.30223
12800000,7,13.7908,-56.5413,7.19973,0.29899
12900000,6,13.578,-45.5596,4.55208,0.299609
13000000,4,18.5037,-53.2313,1.35012,0.301985
13100000,3,14.696,-41.4315,2.22718,0.297094
13200000,5,14.3839,-40.5068,4.95352,0.29883
13300000,6,15.0731,-47.883,3.88085,0.296043
13400000,5,21.0542,-34.5337,1.31059,0.296165
13500000,5,18.6333,-62.4149,2.14643,0.302443
13600000,3,10.3555,-71.5269,1.16409,0.300882
13700000,4,16.4806,-47.7396,1.79205,0.295392
13800000,2,3.60127,-51.4458,2.2898,0.30786
13900000,4,17.8869,-42.2609,1.58564,0.300424
14000000,3,9.87984,-42.4528,2.64996,0.296539
14100000,10,29.0425,-59.3492,8.89893,0.292938
14200000,2,9.33674,-54.0309,2.23225,0.296658
14300000,3,12.6159,-34.8574,1.09403,0.2954
14400000,4,13.5299,-60.876,3.0768,0.300795
14500000,5,19.1756,-36.612,1.5153,0.29903
14600000,3,12.3548,-37.3658,2.24132,0.300011
14700000,6,19.8237,-59.2536,2.34038,0.297387
14800000,4,16.9673,-39.365,1.20136,0.296918
14900000,6,24.3359,-30.0948,3.21133,0.296843
15000000,2,9.51571,-41.7424,1.33848,0.28892
15100000,4,15.3427,-40.9662,2.39536,0.296575
15200000,3,13.3137,-49.3513,1.71726,0.296441
15300000,3,11.5426,-49.743,1.42405,0.2964
15400000,2,7.77661,-36.4776,1.14724,0.299505
15500000,4,16.8793,-53.7855,1.74855,0.293324
15600000,6,21.1692,-63.6412,2.31933,0.294628
15700000,2,11.1439,-60.8437,0.86291,0.299991
15800000,4,13.0036,-53.7753,3.03662,0.299821
15900000,4,14.7973,-39.9716,1.40754,0.295417
16000000,4,15.1883,-32.0835,1.89416,0.30105
16100000,2,10.3693,-49.1272,1.76019,0.30283
16200000,5,16.2128,-45.6295,2.65678,0.299305
16300000,2,8.5663,-48.4819,2.72627,0.290014
16400000,5,15.1742,-46.3618,3.93615,0.302273
16500000,9,30.7764,-40.0033,4.9773,0.295663
16600000,2,9.41538,-44.4521,2.57629,0.289305
16700000,6,19.0671,-45.5603,1.57093,0.291001
16800000,6,20.8612,-43.0447,3.65573,0.292115
16900000,8,31.2896,-38.3283,4.47527,0.300693
17000000,7,19.8288,-48.5542,1.7221,0.307985
17100000,3,15.0737,-57.1472,1.91625,0.304583
17200000,3,9.80154,-47.7989,3.00581,0.29042
17300000,6,12.98,-48.3471,4.78487,0.301586
17400000,4,8.91701,-47.8846,5.13092,0.303822
17500000,8,31.3416,-42.514,2.47946,0.300756
17600000,3,11.7817,-37.3452,1.66616,0.291034
17700000,2,8.50618,-45.8263,3.07165,0.291265
17800000,2,7.2378,-42.1814,0.856837,0.300817
17900000,6,24.3789,-43.2229,4.28285,0.299774
18000000,5,19.9544,-49.4211,2.69767,0.30287
18100000,4,16.0307,-36.8693,2.77865,0.30317
18200000,10,29.0924,-42.9773,5.84512,0.300473
18300000,2,9.56259,-54.0315,1.8066,0.300503
18400000,2,9.509,-73.6528,0.430024,0.30306
18500000,3,14.0762,-42.2032,1.52432,0.301456
18600000,7,18.4515,-39.6884,7.66189,0.305893
18700000,7,25.1142,-30.5079,4.25925,0.301551
18800000,4,12.3225,-31.1134,2.27461,0.299225
18900000,5,14.8794,-37.3973,3.79381,0.299479
19000000,2,9.31946,-80.8443,1.32663,0.297914
19100000,4,17.0866,-32.6277,2.03162,0.299654
19200000,4,15.4036,-48.9103,1.89153,0.299443
19300000,4,9.48338,-50.3759,2.26627,0.297379
19400000,2,7.49189,-45.5776,1.36244,0.29519
19500000,3,11.7428,-46.6461,3.18122,0.295177
19600000,5,16.6797,-47.0865,2.88623,0.30138
19700000,3,12.165,-53.6184,1.73402,0.29756
19800000,4,18.0396,-52.7215,1.60218,0.291356
19900000,4,10.2593,-41.1408,3.58086,0.301149
20000000,6,17.8941,-50.0474,6.70127,0.298355
20100000,9,32.3084,-39.2458,3.82853,0.301028
20200000,4,13.2705,-41.2213,1.68341,0.300852
20300000,4,17.9929,-38.7336,1.43669,0.30249
20400000,7,28.1255,-36.4373,2.83408,0.300847
20500000,3,11.6686,-58.8716,3.06237,0.28865
20600000,4,15.7973,-34.6839,2.35293,0.296555
20700000,4,11.8509,-42.9017,4.13251,0.29639
20800000,4,10.5309,-58.8835,4.00892,0.29268
20900000,2,10.6811,-56.8782,0.795432,0.29253
21000000,2,7.31137,-47.0804,2.05438,0.29539
21100000,3,14.7319,-45.0054,0.881573,0.29894
