generation,N_shifts,logPrior,logLik,eventRate,acceptRate
10700000,10,52.017,80.1562,5.47122,0.22671
10800000,3,15.4317,68.0582,2.76514,0.231023
10900000,7,39.7492,82.0886,2.69777,0.22494
11000000,6,27.0998,45.6064,3.05776,0.226149
11100000,3,17.989,37.2704,1.53994,0.2507
11200000,3,16.9753,52.6143,4.13617,0.227472
11300000,7,34.2687,81.9202,3.53491,0.229386
11400000,7,35.5183,76.062,4.47429,0.22747
11500000,5,24.1356,68.6023,2.75145,0.228815
11600000,10,54.3745,74.6885,5.59815,0.227156
11700000,4,25.4914,79.2081,1.83159,0.2277
11800000,5,24.8358,82.5781,4.06346,0.227595
11900000,5,27.1139,85.0819,1.98658,0.226863
12000000,5,25.8326,70.2814,2.2934,0.226139
12100000,8,47.0984,68.4375,5.49784,0.237753
12200000,4,19.4082,82.7473,3.04726,0.236028
12300000,5,20.7443,71.5096,4.09305,0.225732
12400000,3,17.4791,61.8244,1.36857,0.229815
12500000,4,19.2483,79.7601,3.60343,0.22067
12600000,4,19.7017,79.9509,4.77163,0.22998
12700000,6,29.583,75.2381,1.74031,0.229264
12800000,7,32.4079,83.5638,6.28573,0.228974
12900000,10,47.0238,73.7423,6.24505,0.222949
13000000,4,17.7211,66.0202,4.35234,0.22052
13100000,8,42.4839,65.9953,2.30183,0.219312
13200000,4,22.0912,75.1422,1.76562,0.228846
13300000,6,34.7779,75.5902,3.07924,0.227002
13400000,11,51.7729,92.6309,6.13748,0.221356
13500000,8,33.0746,79.3486,3.52185,0.220823
13600000,3,17.0123,72.4976,0.840881,0.22281
13700000,4,21.5892,86.3107,3.60253,0.221339
13800000,7,36.5851,82.8468,3.87692,0.222983
13900000,8,41.3947,78.9484,3.46776,0.220089
14000000,5,24.3516,69.0685,5.96986,0.220581
14100000,4,25.867,81.14,1.96247,0.219689
14200000,5,29.9612,70.7495,2.23917,0.223233
14300000,7,37.5226,74.5536,3.16713,0.230785
14400000,2,11.2606,60.9315,3.34317,0.226083
14500000,4,25.0467,70.5742,1.17913,0.228768
14600000,4,24.1632,72.6033,4.729,0.226767
14700000,4,19.7746,79.0434,2.83321,0.22555
14800000,6,29.986,94.2753,3.06259,0.224049
14900000,3,15.9165,78.8802,1.4415,0.222694
15000000,8,28.6322,63.7717,1.98035,0.226761
15100000,4,14.6624,76.79,2.16041,0.226675
15200000,5,30.7672,79.9718,2.38739,0.226447
15300000,8,43.445,78.9913,3.14061,0.226306
15400000,5,24.2495,87.8836,3.89952,0.22906
15500000,7,33.8049,77.3654,5.17061,0.223392
15600000,4,17.9535,70.3265,5.17394,0.231026
15700000,6,26.9704,77.1476,1.36007,0.223929
15800000,5,21.3183,80.8482,5.36755,0.242472
15900000,4,23.8931,68.1232,0.823791,0.238422
16000000,8,37.0146,72.9054,4.93049,0.224496
16100000,3,15.2492,74.3597,1.76728,0.222872
16200000,5,25.7026,75.2607,1.54464,0.224708
16300000,6,27.7117,83.6095,5.29736,0.22527
16400000,4,21.2353,68.8509,1.94555,0.215545
16500000,4,23.1331,80.3401,3.2661,0.223628
16600000,3,17.6533,71.4141,1.19608,0.225584
16700000,3,9.59534,76.1929,3.00149,0.220046
16800000,3,14.5971,82.175,1.24948,0.219917
16900000,9,49.1891,80.0144,1.88448,0.22121
17000000,6,32.7132,65.4247,2.62899,0.236724
17100000,3,18.6697,62.2988,0.819273,0.234923
17200000,4,24.0509,63.0662,2.11724,0.24115
17300000,6,36.7263,48.7712,3.69332,0.229521
17400000,4,22.3783,47.836,2.05897,0.233433
17500000,3,16.4136,75.9836,3.31152,0.26932
17600000,5,23.9297,64.1199,3.72436,0.270805
17700000,3,13.3097,77.1961,2.52218,0.253
17800000,5,25.5389,55.8719,3.32912,0.24275
17900000,5,23.5594,57.0502,2.90255,0.26977
18000000,4,23.6801,58.9361,1.9369,0.23972
18100000,6,21.9826,74.2426,6.58751,0.239949
18200000,4,18.7539,71.5918,1.72665,0.231725
18300000,6,31.8659,66.5608,2.61943,0.241953
18400000,2,12.5698,58.398,1.49169,0.26872
18500000,5,24.9193,74.1947,4.40405,0.231959
18600000,6,30.4711,62.8694,3.32359,0.22868
18700000,7,37.3414,95.7061,3.80523,0.24812
18800000,5,24.9139,74.8899,2.94551,0.232995
18900000,8,33.3146,96.4765,5.44752,0.237687
19000000,7,39.564,70.8944,3.35818,0.22394
19100000,3,18.2389,81.7832,1.36857,0.224775
19200000,6,31.9204,68.1868,4.8204,0.22625
19300000,4,22.1527,82.5864,2.78125,0.257423
19400000,5,23.8528,68.8383,2.81328,0.241269
19500000,4,16.9077,86.461,2.09165,0.254966
19600000,3,17.4346,75.7651,1.45935,0.229954
19700000,6,33.4358,75.6184,3.75742,0.229676
19800000,7,38.7395,85.511,3.36621,0.229376
19900000,6,26.2531,71.6225,2.67497,0.226145
20000000,7,34.7712,51.021,4.62716,0.236574
20100000,7,38.7884,58.8433,3.63585,0.236949
20200000,6,32.4539,87.6812,3.71397,0.229429
20300000,4,18.9091,75.0771,1.91218,0.228467
20400000,5,27.041,77.3097,2.53517,0.231543
20500000,4,21.1353,71.8888,3.08721,0.22112
20600000,6,30.8225,77.0726,2.58943,0.22121
20700000,6,28.3655,62.0759,3.95716,0.229048
20800000,5,22.9268,75.4513,3.14081,0.22033
20900000,7,35.1746,67.2141,5.38583,0.23366
21000000,3,19.7925,62.6988,1.87225,0.223607
21100000,3,15.8088,78.3032,1.98072,0.226072
21200000,4,18.3943,84.6701,1.90432,0.23554
21300000,3,17.7374,58.53,2.72862,0.236649
21400000,4,14.1105,69.8945,3.78445,0.226643
21500000,4,16.4031,78.3234,2.70883,0.22652
