generation,N_shifts,logPrior,logLik,eventRate,acceptRate
10900000,2,15.3156,94.421,1.25192,0.32018
11000000,3,21.3463,98.3812,2.06588,0.322734
11100000,4,26.5876,104.233,1.38663,0.312038
11200000,3,19.3686,88.509,2.20824,0.319063
11300000,2,12.9264,100.506,2.04389,0.318994
11400000,3,18.02,99.3036,1.81956,0.310757
11500000,4,22.3657,93.1561,1.29126,0.31737
11600000,2,15.7974,108.492,1.54443,0.317679
11700000,2,15.1032,90.0536,0.695364,0.315617
11800000,2,14.2046,89.0765,1.66647,0.318786
11900000,2,12.8192,97.7661,1.82638,0.318822
12000000,6,34.0581,96.8332,2.69417,0.315224
12100000,4,15.5051,77.4402,3.98082,0.32371
12200000,3,20.1495,89.5399,2.6112,0.324791
12300000,5,28.9774,105.968,4.29968,0.32036
12400000,3,19.9712,100.122,1.85592,0.314905
12500000,5,33.9951,102.757,3.20905,0.30068
12600000,2,14.4512,106.235,1.03665,0.30624
12700000,3,21.61,101.085,1.25145,0.31424
12800000,5,28.8874,103.188,2.54892,0.324604
12900000,3,19.9206,98.7098,1.85051,0.323683
13000000,2,17.7583,88.0616,0.62182,0.307482
13100000,3,20.878,87.4486,1.44836,0.325045
13200000,3,19.3802,105.731,1.48332,0.317983
13300000,3,18.1679,100.978,1.6403,0.314096
13400000,4,24.7101,110.921,1.12366,0.310735
13500000,2,12.8006,102.27,3.82122,0.312997
13600000,2,15.2436,90.5849,1.02831,0.325744
13700000,5,29.3231,91.3212,6.14422,0.317302
13800000,8,45.2335,101.364,3.97679,0.321058
13900000,4,24.9462,112.71,2.9531,0.31754
14000000,3,18.1205,81.555,1.007,0.33345
14100000,3,20.6393,92.4301,2.08869,0.31666
14200000,7,43.6135,94.5962,2.82462,0.318827
14300000,6,36.6843,87.6157,3.80516,0.31686
14400000,2,15.7299,96.0471,1.83493,0.31553
14500000,3,22.7201,91.4299,2.02226,0.327084
14600000,3,23.7199,89.5616,0.486332,0.319041
14700000,4,26.2041,114.45,2.22405,0.323076
14800000,3,18.5379,95.2309,2.25813,0.318968
14900000,2,15.6473,96.7467,1.69295,0.31365
15000000,3,17.0346,105.541,2.46515,0.31867
15100000,2,15.8773,100.165,1.75766,0.319118
15200000,6,38.4018,108.373,2.64229,0.315945
15300000,5,29.9694,101.699,2.22277,0.316728
15400000,8,39.8164,118.028,6.16205,0.30161
15500000,5,32.1242,105.124,0.894049,0.311419
15600000,4,25.9039,92.3849,2.47473,0.319354
15700000,4,22.9333,85.7516,1.51112,0.31416
15800000,2,14.5721,101.94,1.0597,0.315066
15900000,6,34.547,93.8296,4.10893,0.316233
16000000,2,14.8299,86.4632,2.4077,0.3232
16100000,2,15.5091,105.504,1.29801,0.316748
16200000,2,15.0582,90.1144,1.10749,0.317278
16300000,5,26.5678,95.7613,5.57386,0.313352
16400000,3,21.0274,92.0709,3.08877,0.315885
16500000,4,25.2321,105.084,1.52059,0.315675
16600000,6,32.2167,104.984,3.20973,0.324192
16700000,3,21.2341,89.9002,1.6848,0.31027
16800000,7,30.2037,105.093,5.69404,0.321718
16900000,5,28.1777,91.6735,5.00937,0.31981
17000000,3,21.9819,97.1845,1.46005,0.319086
17100000,4,26.1064,89.1555,2.29604,0.317257
17200000,3,20.0596,105.891,2.1559,0.317865
17300000,3,18.3717,103.584,3.38664,0.31281
17400000,4,24.6111,87.1173,3.57679,0.315152
17500000,2,14.0058,102.458,1.58059,0.314043
17600000,3,15.2685,73.4107,4.18375,0.314296
17700000,3,19.0809,95.2921,3.05228,0.317146
17800000,6,32.8919,97.7598,4.13527,0.317484
17900000,5,28.6242,77.0976,2.94935,0.31998
18000000,5,31.1,114.775,2.35833,0.321773
18100000,2,14.5565,92.6315,2.48993,0.318638
18200000,3,21.2236,76.9673,2.87638,0.32187
18300000,8,48.3047,84.8345,3.71889,0.327181
18400000,5,25.4904,107.125,3.04811,0.316151
18500000,3,19.9763,102.735,1.09689,0.310844
18600000,7,34.2856,100.05,5.15694,0.315802
18700000,3,21.43,100.416,1.55153,0.311781
18800000,2,15.57,84.0538,2.25663,0.31608
18900000,2,15.6929,89.4462,0.901723,0.310295
19000000,4,24.9984,94.8461,2.37523,0.3215
19100000,5,30.993,84.4002,3.54026,0.321323
19200000,7,35.3192,107.872,2.72815,0.321457
19300000,3,21.8325,105.452,2.22047,0.3349
19400000,2,11.2166,97.5891,2.95238,0.31865
19500000,7,42.9068,108.432,3.7475,0.325867
19600000,2,11.1757,98.6056,1.77449,0.31686
19700000,2,12.7293,103.857,1.64096,0.318303
19800000,6,34.915,110.459,2.26223,0.30743
19900000,4,20.78,97.9859,3.05402,0.316792
20000000,4,23.5094,104.182,3.69327,0.3142
20100000,2,12.8948,75.9121,2.25185,0.319473
