generation,N_shifts,logPrior,logLik,eventRate,acceptRate
55000000,7,53.5147,133.77,5.64906,0.39208
55100000,3,28.4722,145.722,0.742802,0.399002
55200000,2,15.2098,133.059,1.06935,0.392134
55300000,6,43.315,132.658,3.73948,0.392925
55400000,4,34.458,120.692,3.36114,0.398315
55500000,4,29.2776,138.018,3.0832,0.387317
55600000,4,34.1266,124.094,2.77003,0.41604
55700000,3,26.8312,140.304,1.77617,0.38964
55800000,5,41.4386,133.723,1.648,0.383702
55900000,2,16.7966,112.91,3.58892,0.38075
56000000,4,33.1405,118.484,1.60337,0.397857
56100000,2,21.3766,123.245,1.11638,0.399043
56200000,3,23.9479,141.557,3.6985,0.389777
56300000,4,31.1589,121.246,1.29877,0.390747
56400000,6,44.1215,130.583,2.32178,0.390337
56500000,6,45.3861,128.987,2.45371,0.393651
56600000,2,18.2982,128.388,0.865858,0.393035
56700000,0,7.69786,106.662,0.200909,0.403017
56800000,4,34.0519,135.173,2.76192,0.39286
56900000,5,39.3,131.503,2.04831,0.385015
57000000,5,32.9035,129.003,4.93782,0.38023
57100000,7,50.7993,115.679,3.33319,0.393001
57200000,5,39.1526,122.685,1.73071,0.39294
57300000,4,34.3655,140.464,2.71603,0.394561
57400000,2,20.715,122.767,1.56328,0.391863
57500000,3,25.6737,141.864,2.21063,0.391895
57600000,2,18.2746,121.556,2.77302,0.390348
57700000,3,27.1713,123.608,1.82782,0.401565
57800000,3,24.883,112.839,3.17583,0.394335
57900000,2,19.79,128.755,0.435917,0.394071
58000000,2,16.1295,118.778,5.55641,0.397654
58100000,6,47.8238,144.818,3.64084,0.395529
58200000,2,22.1461,141.951,0.775533,0.390707
58300000,4,35.2321,136.62,1.5258,0.393964
58400000,4,33.6319,123.224,2.77466,0.389502
58500000,6,44.0093,152.422,2.96602,0.389181
58600000,2,18.9633,143.369,2.14232,0.394078
58700000,4,32.4358,124.153,2.03001,0.40815
58800000,7,51.858,143.163,4.64701,0.393447
58900000,2,17.6355,138.723,2.27594,0.401124
59000000,5,33.6755,127.311,5.29965,0.400525
