generation,N_shifts,logPrior,logLik,eventRate,acceptRate
11900000,5,14.7951,-7.95141,1.82392,0.303743
12000000,7,16.6147,-10.1408,1.7439,0.303464
12100000,10,24.937,-13.2772,7.05144,0.310762
12200000,6,17.6523,-2.65034,3.65756,0.304111
12300000,11,28.878,0.846919,6.78535,0.300215
12400000,4,12.7026,-15.94,2.88127,0.303939
12500000,3,12.3539,-17.4849,1.88956,0.302504
12600000,3,11.5386,-20.9104,0.775423,0.303087
12700000,8,22.2297,-14.6558,1.10446,0.30488
12800000,5,13.1595,-3.97277,2.57037,0.308326
12900000,5,11.9183,-2.99054,3.1396,0.306223
13000000,6,14.6663,-6.86856,2.62746,0.305085
13100000,5,18.1185,-5.39477,1.79287,0.29848
13200000,4,16.4377,-29.6505,1.39725,0.305517
13300000,11,24.95,6.99814,6.65925,0.303781
13400000,7,20.1885,-10.6731,4.7902,0.302886
13500000,5,12.8198,-5.55472,1.87245,0.303958
13600000,4,11.9798,0.438969,2.57579,0.2999
13700000,5,15.1825,-1.3151,3.99364,0.303266
13800000,4,13.4831,-45.7751,1.34431,0.301389
13900000,4,13.5238,-23.437,0.73616,0.304688
14000000,7,19.1644,-11.038,4.77427,0.304508
14100000,5,10.2183,-2.06073,3.41928,0.309117
14200000,6,15.319,-6.56892,3.23867,0.304706
14300000,5,17.7866,-9.48308,1.84068,0.2933
14400000,4,16.7536,-2.23396,1.25505,0.302064
14500000,5,16.9058,-13.3715,3.76858,0.29984
14600000,4,10.9792,-17.0779,2.56706,0.30151
14700000,5,8.97613,-28.4791,2.78476,0.305683
14800000,6,18.3063,-23.5605,3.04962,0.30299
14900000,6,12.9513,-37.9077,3.32141,0.31341
15000000,4,4.60574,-22.4072,0.980991,0.304377
15100000,3,9.87518,-28.0218,1.88274,0.30717
15200000,9,15.6334,-7.0538,5.53341,0.310762
15300000,5,12.4905,-21.9002,3.71261,0.306153
15400000,3,12.2324,-31.252,0.849817,0.307756
15500000,4,11.5592,-21.9692,2.27684,0.309536
15600000,4,14.5282,-6.42383,2.03517,0.309312
15700000,7,22.2683,-4.3835,3.12056,0.30332
15800000,3,10.2898,-36.477,1.0649,0.306905
15900000,6,17.5863,-22.7,2.98543,0.308028
16000000,3,8.96679,-26.0106,3.20698,0.302277
16100000,7,16.5546,-25.7865,1.85535,0.309741
16200000,6,15.1648,-0.581929,5.44259,0.302533
16300000,5,12.0193,-7.1513,6.30334,0.307
16400000,6,23.593,-16.5428,2.88825,0.29992
16500000,6,16.1,1.3689,2.17618,0.308433
16600000,6,18.9897,-20.8932,3.64649,0.309905
16700000,4,5.84093,-13.663,5.13897,0.299772
16800000,3,11.8682,-13.2533,0.78452,0.305135
16900000,3,10.6673,-28.3999,1.28492,0.299633
17000000,6,15.3542,-6.84519,2.8118,0.299336
17100000,3,11.3359,-26.6067,1.57311,0.311763
17200000,6,18.9656,-30.5832,1.48037,0.302859
17300000,4,13.7688,-11.3471,1.47061,0.30526
17400000,3,11.6864,-16.8529,1.8982,0.302735
17500000,3,8.57971,-30.02,1.04582,0.306048
17600000,3,10.0709,-17.0307,0.909812,0.30261
17700000,5,19.5745,7.37633,2.70809,0.304963
17800000,4,8.93854,-23.8079,1.77076,0.308165
17900000,4,13.5493,-10.4223,1.53155,0.29619
18000000,5,17.5765,-2.19668,3.24647,0.298573
18100000,5,15.6563,-7.36817,1.33607,0.29544
18200000,5,11.2413,-1.81168,3.34518,0.297095
18300000,4,13.3359,-17.2861,2.29753,0.307309
18400000,4,15.2285,-14.9954,2.15568,0.303909
18500000,7,17.1844,-10.6372,4.07082,0.29513
18600000,6,21.1018,-8.44348,2.85918,0.296687
18700000,4,16.141,-20.0978,2.27364,0.30273
18800000,5,13.8071,-21.9278,3.77537,0.301206
18900000,6,9.9671,-7.4033,4.20672,0.303571
19000000,4,15.1109,-22.8267,2.37384,0.31296
19100000,6,14.9851,-35.4809,3.59312,0.309638
19200000,4,8.78136,-28.7324,3.8031,0.303624
19300000,6,14.6207,-21.4796,2.84701,0.31836
19400000,4,14.6581,-13.4013,2.16326,0.314928
19500000,5,9.76385,-10.1693,1.67332,0.312498
19600000,5,9.1612,-8.87504,3.50311,0.32156
