generation,N_shifts,logPrior,logLik,eventRate,acceptRate
12000000,4,10.9343,-3.06565,1.38312,0.305421
12100000,3,9.43138,-19.4775,1.99278,0.30965
12200000,4,11.7938,-6.63083,3.86333,0.308357
12300000,3,7.87336,-12.6559,1.93813,0.308604
12400000,3,14.3534,-4.94805,1.44981,0.305981
12500000,3,11.7377,-12.0758,1.88352,0.30482
12600000,2,8.7909,-0.700067,1.04797,0.307738
12700000,2,10.8904,9.52461,0.834771,0.29546
12800000,6,18.2835,9.08908,2.20064,0.302536
12900000,4,12.6839,2.17575,2.70468,0.299343
13000000,4,10.3642,8.55065,3.51634,0.30364
13100000,2,9.92795,-5.64101,0.709348,0.302245
13200000,6,16.6084,16.7723,3.87434,0.305174
13300000,3,7.84221,0.455635,2.58331,0.303006
13400000,3,13.333,5.34099,1.52834,0.30062
13500000,4,13.3434,-9.39871,2.77535,0.302027
13600000,2,9.35457,13.4153,1.40058,0.29708
13700000,3,10.0823,0.530376,2.31294,0.302902
13800000,2,9.97272,5.35228,1.1562,0.304494
13900000,5,16.7337,-4.47914,3.76475,0.303513
14000000,4,14.6663,2.4967,2.66796,0.301022
14100000,2,10.9454,-4.30041,0.514263,0.303969
14200000,1,7.12894,-15.5458,0.76885,0.318475
14300000,8,21.2344,2.02839,4.48738,0.30288
14400000,2,7.56514,-12.4328,1.88811,0.324477
14500000,3,7.41454,-14.508,2.31344,0.304136
14600000,4,11.7957,-3.48277,2.74092,0.303732
14700000,2,9.99336,-17.5772,1.76336,0.304946
14800000,4,9.12049,-10.8122,1.75176,0.305617
14900000,2,8.37329,-5.3809,1.78777,0.310245
15000000,4,8.21999,3.90766,2.7372,0.3083
15100000,3,9.42609,4.48918,4.02789,0.304297
15200000,4,15.8166,13.7331,2.18717,0.305441
15300000,2,9.46248,-2.69937,0.869349,0.304777
15400000,2,7.67668,5.4039,1.44958,0.304223
15500000,5,17.0484,14.9419,1.68415,0.316305
15600000,4,14.9127,11.6002,2.37891,0.304633
15700000,3,8.6577,0.0152105,4.62384,0.304774
15800000,3,7.48903,-10.0064,2.06786,0.315277
15900000,2,9.67905,1.42131,1.6368,0.30303
16000000,5,11.9014,7.96596,1.1987,0.304476
16100000,2,9.85039,-0.472881,1.94421,0.30822
16200000,3,12.3495,21.1753,2.80788,0.302383
16300000,2,9.75531,8.43871,0.94707,0.305852
16400000,6,19.5166,4.05945,3.90271,0.30317
16500000,2,9.49432,3.93889,1.10899,0.312938
16600000,2,9.75024,8.89516,1.48717,0.303777
16700000,2,9.8967,9.27992,0.672719,0.305345
16800000,2,10.7218,16.0007,1.22407,0.304254
16900000,2,7.68713,-7.01606,2.11926,0.30507
17000000,5,9.45918,2.35014,3.48983,0.30326
17100000,5,15.3744,1.53557,3.838,0.304747
17200000,3,11.49,-4.06862,3.68177,0.304355
17300000,2,5.59676,-2.97213,2.00738,0.306255
17400000,3,10.7494,8.94092,2.59225,0.304017
17500000,2,7.19975,-33.5316,1.56671,0.312026
17600000,3,8.83926,7.07304,1.79616,0.311498
17700000,2,6.29315,-12.1753,3.24935,0.302363
17800000,3,9.98932,1.36031,1.28438,0.310686
17900000,2,8.53109,3.00542,0.680655,0.310552
18000000,4,9.96678,23.3735,2.97906,0.304901
18100000,4,11.3054,4.37069,1.5716,0.310603
18200000,2,10.3875,11.2327,0.610861,0.309681
18300000,2,10.0666,11.1334,0.877826,0.308984
18400000,5,17.8517,1.35152,2.10143,0.307056
18500000,4,10.4187,-2.47824,3.76127,0.306538
18600000,3,10.41,-2.3687,1.35321,0.305879
18700000,2,1.82629,2.72913,2.05376,0.30118
18800000,3,13.3419,-1.68197,0.876856,0.305425
18900000,2,9.54816,-2.55268,1.2413,0.305247
19000000,5,19.6258,1.20537,1.74334,0.305705
19100000,3,9.04207,-25.7876,1.34115,0.30585
19200000,4,15.5437,-3.46259,1.51713,0.30723
19300000,4,14.782,-4.89904,0.942558,0.306651
19400000,3,8.03158,-9.64736,2.46949,0.301975
19500000,4,12.4519,-2.40883,1.9922,0.304699
19600000,7,21.6275,21.0313,5.17067,0.305262
19700000,7,16.3346,6.98883,3.27976,0.304182
19800000,2,6.0245,-3.40101,2.23978,0.309787
19900000,4,14.8632,12.8915,0.706847,0.30138
20000000,2,5.50049,-1.2711,0.730594,0.306454
20100000,3,14.4294,-1.26587,0.848658,0.303221
20200000,3,10.5094,0.853335,2.28641,0.302457
20300000,3,10.6964,5.58631,1.80146,0.310605
20400000,2,8.55722,-2.33351,1.49991,0.304192
20500000,2,6.64981,0.851963,1.81014,0.306757
20600000,6,20.2775,13.5707,1.61666,0.306416
20700000,4,14.2969,7.74119,0.625133,0.302816
