generation,N_shifts,logPrior,logLik,eventRate,acceptRate
12300000,7,46.2885,89.9682,3.98401,0.373164
12400000,6,37.3162,92.5473,6.00449,0.357593
12500000,7,52.6305,84.3876,1.67455,0.369747
12600000,1,12.5091,83.4319,0.747798,0.369805
12700000,1,10.9469,92.6708,0.371634,0.357988
12800000,3,25.313,89.5253,1.93512,0.366045
12900000,1,11.8581,74.3111,0.218675,0.357414
13000000,3,22.3222,80.5238,0.872427,0.386535
13100000,6,33.3185,78.965,2.08909,0.384404
13200000,6,40.6177,90.953,4.50006,0.36064
13300000,2,17.3529,90.4778,0.414474,0.36156
13400000,6,39.2187,101.259,2.36727,0.377944
13500000,2,17.9076,80.1514,1.77181,0.376331
13600000,4,30.8486,93.0506,2.08211,0.367153
13700000,1,11.6101,71.2724,1.12748,0.368764
13800000,1,12.1025,95.0145,1.67948,0.363673
13900000,1,9.82019,76.1752,0.120952,0.373418
14000000,3,26.7248,87.1191,1.51166,0.35324
14100000,3,20.2584,83.3569,0.769462,0.374012
14200000,2,17.9061,97.3474,0.611689,0.36843
14300000,3,22.751,96.2668,1.56705,0.36478
14400000,3,25.5418,88.2904,1.88759,0.361462
14500000,2,19.5665,94.1254,0.584223,0.36149
14600000,2,12.7354,95.848,0.829722,0.352725
14700000,6,41.3515,92.9926,2.44284,0.353527
14800000,1,10.8516,84.2231,0.691531,0.364234
14900000,2,12.6706,83.683,1.63001,0.362727
15000000,1,11.3706,99.5801,1.59306,0.36477
15100000,4,28.641,93.0559,0.971227,0.348388
15200000,4,22.0188,82.249,4.35193,0.362579
15300000,4,28.2943,93.7163,1.99293,0.35142
15400000,2,16.5655,87.6758,1.73501,0.368343
15500000,1,11.2589,90.7261,0.45177,0.365241
15600000,6,38.7218,87.3975,3.44824,0.365366
15700000,2,20.6799,94.7264,0.341577,0.360051
15800000,2,18.0406,73.8936,1.50905,0.36645
15900000,3,22.5287,76.6303,1.24479,0.3675
16000000,9,60.0563,77.6437,5.22403,0.365563
16100000,6,35.6188,96.7103,6.39999,0.359011
16200000,5,34.1109,82.6095,4.18839,0.362426
16300000,3,23.6825,73.2454,3.41056,0.372444
16400000,2,18.2022,80.189,1.06923,0.34838
